text
The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years and they have given us nothing but lies &amp; deceit thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan with little help. No more!
Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food &amp; for freedom. Along with human rights the wealth of Iran is being looted. TIME FOR CHANGE!
Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done but it will be a great New Year!
The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that President Obama so foolishly gave them went into terrorism and into their “pockets.” The people have little food big inflation and no human rights. The U.S. is watching!
Crooked Hillary Clinton’s top aid Huma Abedin has been accused of disregarding basic security protocols. She put Classified Passwords into the hands of foreign agents. Remember sailors pictures on submarine? Jail! Deep State Justice Dept must finally act? Also on Comey &amp; others
Thank you to Brandon Judd of the National Border Patrol Council for your kind words on how well we are doing at the Border. We will be bringing in more &amp; more of your great folks and will build the desperately needed WALL! @foxandfriends
Companies are giving big bonuses to their workers because of the Tax Cut Bill. Really great!
Sanctions and “other” pressures are beginning to have a big impact on North Korea. Soldiers are dangerously fleeing to South Korea. Rocket man now wants to talk to South Korea for first time. Perhaps that is good news perhaps not - we will see!
Since taking office I have been very strict on Commercial Aviation. Good news - it was just reported that there were Zero deaths in 2017 the best and safest year on record!
The Failing New York Times has a new publisher A.G. Sulzberger. Congratulations! Here is a last chance for the Times to fulfill the vision of its Founder Adolph Ochs “to give the news impartially without fear or FAVOR regardless of party sect or interests involved.” Get...
....impartial journalists of a much higher standard lose all of your phony and non-existent “sources” and treat the President of the United States FAIRLY so that the next time I (and the people) win you won’t have to write an apology to your readers for a job poorly done! GL
Democrats are doing nothing for DACA - just interested in politics.  DACA activists and Hispanics will go hard against Dems will start “falling in love” with Republicans and their President! We are about RESULTS.
We will not rest until all of America’s GREAT VETERANS can receive the care they so richly deserve. Tremendous progress has been made in a short period of time. Keep up the great work @SecShulkin @DeptVetAffairs! https://t.co/ir25vW15hx https://t.co/OtuzIgxMn6
Congratulations to Senator Orrin Hatch on an absolutely incredible career. He has been a tremendous supporter and I will never forget the (beyond kind) statements he has made about me as President. He is my friend and he will be greatly missed in the U.S. Senate! https://t.co/0VjzLEeHTl
It's not only Pakistan that we pay billions of dollars to for nothing but also many other countries and others. As an example we pay the Palestinians HUNDRED OF MILLIONS OF DOLLARS a year and get no appreciation or respect. They don’t even want to negotiate a long overdue...
...peace treaty with Israel. We have taken Jerusalem the toughest part of the negotiation off the table but Israel for that would have had to pay more. But with the Palestinians no longer willing to talk peace why should we make any of these massive future payments to them?
North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button but it is a much bigger &amp; more powerful one than his and my Button works!
I will be announcing THE MOST DISHONEST &amp; CORRUPT MEDIA AWARDS OF THE YEAR on Monday at 5:00 o’clock. Subjects will cover Dishonesty &amp; Bad Reporting in various categories from the Fake News Media. Stay tuned!
“President Trump has something now he didn’t have a year ago that is a set of accomplishments that nobody can deny. The accomplishments are there look at his record he has had a very significant first year.” @LouDobbs ShowDavid Asman &amp; Ed Rollins
Such respect for the people of Iran as they try to take back their corrupt government. You will see great support from the United States at the appropriate time!
Melania and I are deeply saddened by the death of Thomas S. Monson a beloved President of the Church of Jesus Christ of Latter-day Saints...https://t.co/ETD3fWtfU3
